[2016-01-25 20:25:13,243] INFO     0[main] - org.airavata.teamzenith.main.Core.main(Core.java:18) - Yolo logging
[2016-01-25 20:25:55,868] INFO     0[main] - org.airavata.teamzenith.main.Core.main(Core.java:18) - Yolo logging
[2016-01-25 20:43:32,631] INFO     0[main] - org.airavata.teamzenith.main.Core.main(Core.java:18) - Yolo logging
[2016-01-25 21:14:41,368] INFO     0[main] - org.airavata.teamzenith.main.Core.main(Core.java:15) - Yolo logging
[2016-01-25 21:14:41,370]ERROR     2[main] - org.airavata.teamzenith.main.Core.main(Core.java:16) - Test error message
[2016-01-25 23:02:01,739]ERROR     0[main] - org.airavata.teamzenith.main.Core.main(Core.java:29) - Source file transfer failed
[2016-01-25 23:09:31,854]ERROR     0[main] - org.airavata.teamzenith.main.Core.main(Core.java:29) - Source file transfer failed
[2016-01-25 23:11:14,230]ERROR     0[main] - org.airavata.teamzenith.main.Core.main(Core.java:29) - Source file transfer failed
[2016-01-25 23:13:25,934]DEBUG     0[main] - org.airavata.teamzenith.main.Core.main(Core.java:32) - a.c transferred to Karst
[2016-01-25 23:13:25,936] INFO     2[main] - org.airavata.teamzenith.main.Core.main(Core.java:36) - Compilation required
[2016-01-25 23:13:29,511]DEBUG  3577[main] - org.airavata.teamzenith.main.Core.main(Core.java:48) - PBS_Script_1453781608492.pbs transferred to Karst
[2016-01-25 23:13:30,623]DEBUG  4689[main] - org.airavata.teamzenith.main.Core.main(Core.java:57) - mailsenddest.sh transferred to Karst
[2016-01-25 23:13:32,099]DEBUG  6165[main] - org.airavata.teamzenith.main.Core.main(Core.java:63) - PBS_Script_1453781608492.pbs transferred to Karst
[2016-01-25 23:39:52,437]DEBUG     0[main] - org.airavata.teamzenith.main.Core.main(Core.java:45) - a.c transferred to Karst
[2016-01-25 23:39:52,439] INFO     2[main] - org.airavata.teamzenith.main.Core.main(Core.java:49) - Compilation required
[2016-01-25 23:39:53,961]DEBUG  1524[main] - org.airavata.teamzenith.main.Core.main(Core.java:61) - PBS_Script_1453783193477.pbs transferred to Karst
[2016-01-25 23:39:54,431]DEBUG  1994[main] - org.airavata.teamzenith.main.Core.main(Core.java:70) - mailsenddest.sh transferred to Karst
[2016-01-25 23:39:55,477]DEBUG  3040[main] - org.airavata.teamzenith.main.Core.main(Core.java:76) - PBS_Script_1453783193477.pbs transferred to Karst
[2016-01-25 23:46:12,444]DEBUG     0[main] - org.airavata.teamzenith.main.Core.main(Core.java:45) - a.c transferred to Karst
[2016-01-25 23:46:12,452] INFO     8[main] - org.airavata.teamzenith.main.Core.main(Core.java:49) - Compilation required
[2016-01-25 23:46:15,927]DEBUG  3483[main] - org.airavata.teamzenith.main.Core.main(Core.java:61) - PBS_Script_1453783575489.pbs transferred to Karst
[2016-01-25 23:46:16,325]DEBUG  3881[main] - org.airavata.teamzenith.main.Core.main(Core.java:70) - mailsenddest.sh transferred to Karst
[2016-01-25 23:46:17,361]DEBUG  4917[main] - org.airavata.teamzenith.main.Core.main(Core.java:76) - PBS_Script_1453783575489.pbs transferred to Karst
[2016-01-25 23:56:25,117]DEBUG     0[main] - org.airavata.teamzenith.main.Core.main(Core.java:45) - a.c transferred to Karst
[2016-01-25 23:56:25,121] INFO     4[main] - org.airavata.teamzenith.main.Core.main(Core.java:49) - Compilation required
[2016-01-25 23:56:26,566]DEBUG  1449[main] - org.airavata.teamzenith.main.Core.main(Core.java:61) - PBS_Script_1453784186158.pbs transferred to Karst
[2016-01-25 23:56:27,067]DEBUG  1950[main] - org.airavata.teamzenith.main.Core.main(Core.java:70) - mailsenddest.sh transferred to Karst
[2016-01-25 23:56:28,108]DEBUG  2991[main] - org.airavata.teamzenith.main.Core.main(Core.java:76) - PBS_Script_1453784186158.pbs transferred to Karst
[2016-01-26 01:46:28,607]DEBUG     0[main] - org.airavata.teamzenith.main.Core.main(Core.java:45) - a.c transferred to Karst
[2016-01-26 01:46:28,610] INFO     3[main] - org.airavata.teamzenith.main.Core.main(Core.java:49) - Compilation required
[2016-01-26 01:46:32,116]DEBUG  3509[main] - org.airavata.teamzenith.main.Core.main(Core.java:61) - PBS_Script_1453790791649.pbs transferred to Karst
[2016-01-26 01:46:33,231]DEBUG  4624[main] - org.airavata.teamzenith.main.Core.main(Core.java:70) - mailsenddest.sh transferred to Karst
[2016-01-26 01:46:34,271]DEBUG  5664[main] - org.airavata.teamzenith.main.Core.main(Core.java:76) - PBS_Script_1453790791649.pbs transferred to Karst
